Name,Yes,No,Abstention
ALBA ,5,1,2 
LAIA ,13,0,0 
NATO ,9,1,12 
THE COMMONWEALTH OF NATIONS  ,13,7,18 
BRICS ,3,0,0 
CEPAL ,25,3,12 
CELAC ,20,2,5 
MERCOSUR ,10,0,0 
EU ,9,1,10 
USAN/UNASUR ,11,0,0 
OEA/OAS ,20,1,6 
