Name,Yes,No,Abstention
CELAC ,18,0,1 
LAIA ,12,0,0 
MERCOSUR ,9,0,0 
EU ,14,0,5 
THE COMMONWEALTH OF NATIONS  ,8,0,3 
OEA/OAS ,17,0,2 
ALBA ,4,0,0 
BRICS ,3,0,0 
CEPAL ,22,0,6 
USAN/UNASUR ,9,0,0 
NATO ,15,0,6 
