Name,Yes,No,Abstention
EU ,13,1,7 
MERCOSUR ,10,0,0 
THE COMMONWEALTH OF NATIONS  ,25,3,14 
LAIA ,13,0,0 
BRICS ,3,0,0 
USAN/UNASUR ,11,0,0 
ALBA ,5,0,2 
CELAC ,23,1,3 
NATO ,15,1,6 
CEPAL ,32,2,6 
OEA/OAS ,23,0,4 
