Name,Yes,No,Abstention
CELAC ,21,3,5 
USAN/UNASUR ,11,0,0 
LAIA ,13,0,0 
CEPAL ,26,4,11 
NATO ,9,1,12 
THE COMMONWEALTH OF NATIONS  ,14,8,19 
ALBA ,5,1,3 
EU ,10,1,10 
BRICS ,3,0,0 
MERCOSUR ,10,0,0 
OEA/OAS ,21,2,6 
