Name,Yes,No,Abstention
ALBA ,4,0,0 
BRICS ,3,0,1 
MERCOSUR ,9,0,0 
USAN/UNASUR ,9,0,0 
OEA/OAS ,21,0,1 
NATO ,12,0,10 
THE COMMONWEALTH OF NATIONS  ,28,0,3 
CELAC ,22,0,0 
LAIA ,12,0,0 
CEPAL ,26,0,6 
EU ,12,0,9 
