Name,Yes,No,Abstention
ALBA ,4,0,0 
MERCOSUR ,10,0,0 
OEA/OAS ,19,0,5 
EU ,9,1,11 
LAIA ,12,0,0 
THE COMMONWEALTH OF NATIONS  ,17,1,14 
BRICS ,3,0,0 
USAN/UNASUR ,10,0,1 
CELAC ,20,0,5 
CEPAL ,22,1,12 
NATO ,10,1,11 
