Name,Yes,No,Abstention
BRICS ,3,0,0 
CEPAL ,25,4,11 
CELAC ,21,3,5 
THE COMMONWEALTH OF NATIONS  ,15,9,16 
EU ,10,1,10 
NATO ,10,1,11 
LAIA ,12,0,0 
OEA/OAS ,20,2,6 
USAN/UNASUR ,10,0,0 
ALBA ,4,2,2 
MERCOSUR ,9,0,0 
