Name,Yes,No,Abstention
LAIA ,13,0,0 
BRICS ,3,0,0 
CELAC ,22,1,6 
ALBA ,5,0,4 
USAN/UNASUR ,11,0,0 
OEA/OAS ,22,0,7 
MERCOSUR ,10,0,0 
EU ,13,1,7 
CEPAL ,31,2,9 
NATO ,15,1,6 
THE COMMONWEALTH OF NATIONS  ,20,3,18 
