Name,Yes,No,Abstention
MERCOSUR ,8,0,0 
CELAC ,20,0,0 
NATO ,11,0,9 
THE COMMONWEALTH OF NATIONS  ,16,0,5 
BRICS ,3,0,1 
EU ,11,0,7 
USAN/UNASUR ,8,0,0 
LAIA ,11,0,0 
ALBA ,3,0,0 
CEPAL ,23,0,6 
OEA/OAS ,19,0,1 
