Name,Yes,No,Abstention
CELAC ,18,0,0 
MERCOSUR ,9,0,0 
THE COMMONWEALTH OF NATIONS  ,10,0,2 
USAN/UNASUR ,9,0,0 
LAIA ,12,0,0 
OEA/OAS ,18,0,0 
EU ,15,0,3 
ALBA ,4,0,0 
CEPAL ,23,0,3 
NATO ,17,0,3 
BRICS ,3,0,1 
